3,Design/Build
4,Mechanical
5,Electrical
6,Plumbing
7,Structural
8,Mechanical Study
9.Structural Study
10,Electrical Study
11,LEED
12,Industrial
13,Commerical
14,Educational
15,Aerospace
16,Military/DOD
